I,Observation.valueQuantity.code,Observation.valueQuantity.unit
http://unitsofmeasure.org,mL/(8.h)/kg,milliliter per 8 hour per kilogram
http://unitsofmeasure.org,mL/cm[H2O],milliliter per centimeter of water
http://unitsofmeasure.org,mL/d,milliliter per day
http://unitsofmeasure.org,mL/dL,milliliter per deciliter
http://unitsofmeasure.org,mL/{beat},milliliter per heart beat
http://unitsofmeasure.org,mL/{beat}/m2,milliliter per heart beat per  square meter
http://unitsofmeasure.org,mL/h,milliliter per hour
http://unitsofmeasure.org,mL/kg,milliliter per kilogram
http://unitsofmeasure.org,mL/kg/(8.h),milliliter per kilogram per 8 hour
http://unitsofmeasure.org,mL/kg/d,milliliter per kilogram per day
http://unitsofmeasure.org,mL/kg/h,milliliter per kilogram per hour
http://unitsofmeasure.org,mL/kg/min,milliliter per kilogram per minute
http://unitsofmeasure.org,mL/mbar,milliliter per millibar
http://unitsofmeasure.org,mL/mm,milliliter per millimeter
http://unitsofmeasure.org,mL/min,milliliter per minute
http://unitsofmeasure.org,mL/min/{1.73_m2},milliliter per minute per 1.73 square meter
http://unitsofmeasure.org,mL/min/m2,milliliter per minute per square meter
http://unitsofmeasure.org,mL/s,milliliter per second
http://unitsofmeasure.org,mL/[sin_i],milliliter per square inch (international)
http://unitsofmeasure.org,mL/m2,milliliter per square meter
http://unitsofmeasure.org,mm,millimeter
http://unitsofmeasure.org,mm[Hg],millimeter of mercury
http://unitsofmeasure.org,mm[H2O],millimeter of water
http://unitsofmeasure.org,mm/h,millimeter per hour
http://unitsofmeasure.org,mm/min,millimeter per minute
http://unitsofmeasure.org,mmol,millimole
http://unitsofmeasure.org,mmol/(12.h),millimole per 12 hour
http://unitsofmeasure.org,mmol/(2.h),millimole per 2 hour
http://unitsofmeasure.org,mmol/(24.h),millimole per 24 hour
http://unitsofmeasure.org,mmol/(5.h),millimole per 5 hour
http://unitsofmeasure.org,mmol/(6.h),millimole per 6 hour
http://unitsofmeasure.org,mmol/(8.h),millimole per 8 hour
http://unitsofmeasure.org,mmol/d,millimole per day
http://unitsofmeasure.org,mmol/dL,millimole per deciliter
http://unitsofmeasure.org,mmol/{ejaculate},millimole per ejaculate
http://unitsofmeasure.org,mmol/g,millimole per gram
http://unitsofmeasure.org,mmol/g{creat},millimole per gram of creatinine
http://unitsofmeasure.org,mmol/h,millimole per hour
http://unitsofmeasure.org,mmol/h/mg{Hb},millimole per hour per milligram of hemoglobin
http://unitsofmeasure.org,mmol/h/mg{prot},millimole per hour per milligram of protein
http://unitsofmeasure.org,mmol/kg,millimole per kilogram
http://unitsofmeasure.org,mmol/kg/(8.h),millimole per kilogram per 8 hour
http://unitsofmeasure.org,mmol/kg/d,millimole per kilogram per day
http://unitsofmeasure.org,mmol/kg/h,millimole per kilogram per hour
http://unitsofmeasure.org,mmol/kg/min,millimole per kilogram per minute
http://unitsofmeasure.org,mmol/L,millimole per liter
http://unitsofmeasure.org,mmol/L{RBCs},millimole per liter of red blood cells
http://unitsofmeasure.org,mmol/mmol,millimole per millimole
http://unitsofmeasure.org,mmol/mmol{urea},millimole per millimole of urea
http://unitsofmeasure.org,mmol/mmol{creat},millimole per millmole of creatinine
http://unitsofmeasure.org,mmol/min,millimole per minute
http://unitsofmeasure.org,mmol/mol,millimole per mole
http://unitsofmeasure.org,mmol/mol{creat},millimole per mole of creatinine
http://unitsofmeasure.org,mmol/s/L,millimole per second per liter
http://unitsofmeasure.org,mmol/{specimen},millimole per specimen
http://unitsofmeasure.org,mmol/m2,millimole per square meter
http://unitsofmeasure.org,mmol/{total_vol},millimole per total volume
http://unitsofmeasure.org,10*6,million
http://unitsofmeasure.org,10*6.[CFU]/L,million colony forming unit per liter
http://unitsofmeasure.org,10*6.[IU],million international unit
http://unitsofmeasure.org,10*6/(24.h),million per 24 hour
http://unitsofmeasure.org,10*6/kg,million per kilogram
http://unitsofmeasure.org,10*6/L,million per liter
http://unitsofmeasure.org,10*6/uL,million per microliter
http://unitsofmeasure.org,10*6/mL,million per milliliter
http://unitsofmeasure.org,mosm,milliosmole
http://unitsofmeasure.org,mosm/kg,milliosmole per kilogram
http://unitsofmeasure.org,mosm/L,milliosmole per liter
http://unitsofmeasure.org,mPa,millipascal
http://unitsofmeasure.org,mPa.s,millipascal second
http://unitsofmeasure.org,ms,millisecond
http://unitsofmeasure.org,mV,millivolt
http://unitsofmeasure.org,mV/s,millivolt per second
http://unitsofmeasure.org,{minidrop}/min,minidrop per minute
http://unitsofmeasure.org,{minidrop}/s,minidrop per second
http://unitsofmeasure.org,min,minute
http://unitsofmeasure.org,min/d,minute per day
http://unitsofmeasure.org,min/wk,minute per week
http://unitsofmeasure.org,mol,mole
http://unitsofmeasure.org,mol/m3,mole per cubic meter
http://unitsofmeasure.org,mol/kg,mole per kilogram
http://unitsofmeasure.org,mol/kg/s,mole per kilogram per second
http://unitsofmeasure.org,mol/L,mole per liter
http://unitsofmeasure.org,mol/mL,mole per milliliter
http://unitsofmeasure.org,mol/mol,mole per mole
http://unitsofmeasure.org,mol/s,mole per second
http://unitsofmeasure.org,{#}/{platelet},molecule per platelet
http://unitsofmeasure.org,mo,month
http://unitsofmeasure.org,{mm/dd/yyyy},month-day-year
http://unitsofmeasure.org,{M.o.M},multiple of the median
http://unitsofmeasure.org,{mutation},mutation
http://unitsofmeasure.org,nU/mL,nanoenzyme unit per milliliter
http://unitsofmeasure.org,nU/{RBC},nanoenzyme unit per red blood cell
http://unitsofmeasure.org,ng,nanogram
http://unitsofmeasure.org,ng{FEU}/mL,nanogram fibrinogen equivalent unit per milliliter
http://unitsofmeasure.org,ng/(24.h),nanogram per 24 hour
http://unitsofmeasure.org,ng/(8.h),nanogram per 8 hour
http://unitsofmeasure.org,ng/d,nanogram per day
http://unitsofmeasure.org,ng/dL,nanogram per deciliter
http://unitsofmeasure.org,ng/U,nanogram per enzyme unit
http://unitsofmeasure.org,ng/g,nanogram per gram
http://unitsofmeasure.org,ng/g{creat},nanogram per gram of creatinine
http://unitsofmeasure.org,ng/h,nanogram per hour
http://unitsofmeasure.org,ng/kg,nanogram per kilogram
http://unitsofmeasure.org,ng/kg/(8.h),nanogram per kilogram per 8 hour
http://unitsofmeasure.org,ng/kg/h,nanogram per kilogram per hour
http://unitsofmeasure.org,ng/kg/min,nanogram per kilogram per minute
http://unitsofmeasure.org,ng/L,nanogram per liter
http://unitsofmeasure.org,ng/mg,nanogram per milligram
http://unitsofmeasure.org,ng/mg{creat},nanogram per milligram of creatinine
http://unitsofmeasure.org,ng/mg{prot},nanogram per milligram of protein
http://unitsofmeasure.org,ng/mg/h,nanogram per milligram per hour
http://unitsofmeasure.org,ng/mL{RBCs},nanogram per milliliter of red blood cells
http://unitsofmeasure.org,ng/mL/h,nanogram per milliliter per hour
http://unitsofmeasure.org,ng/10*6,nanogram per million
http://unitsofmeasure.org,ng/10*6{RBCs},nanogram per million red blood cells
http://unitsofmeasure.org,ng/mL,nanogram per millliiter
http://unitsofmeasure.org,ng/min,nanogram per minute
http://unitsofmeasure.org,ng/s,nanogram per second
http://unitsofmeasure.org,ng/m2,nanogram per square meter
http://unitsofmeasure.org,nkat,nanokatal
http://unitsofmeasure.org,nL,nanoliter
http://unitsofmeasure.org,nm,nanometer
http://unitsofmeasure.org,nm/s/L,nanometer per second per liter
http://unitsofmeasure.org,nmol,nanomole
http://unitsofmeasure.org,nmol{BCE},nanomole bone collagen equivalent
http://unitsofmeasure.org,nmol{BCE}/L,nanomole bone collagen equivalent per liter
http://unitsofmeasure.org,nmol/mmol{creat},nanomole bone collagen equivalent per millimole of creatinine
http://unitsofmeasure.org,nmol/mg{prot},nanomole of 1/2 cystine per milligram of protein
http://unitsofmeasure.org,nmol{ATP},nanomole of ATP
http://unitsofmeasure.org,nmol/(24.h),nanomole per 24 hour
http://unitsofmeasure.org,nmol/d,nanomole per day
http://unitsofmeasure.org,nmol/dL,nanomole per deciliter
http://unitsofmeasure.org,nmol/dL{GF},nanomole per deciliter of glomerular filtrate
http://unitsofmeasure.org,nmol/g,nanomole per gram
http://unitsofmeasure.org,nmol/g{creat},nanomole per gram of creatinine
http://unitsofmeasure.org,nmol/g{dry_wt},nanomole per gram of dry weight
http://unitsofmeasure.org,nmol/h/L,nanomole per hour per liter
http://unitsofmeasure.org,nmol/h/mg{prot},nanomole per hour per milligram of protein
http://unitsofmeasure.org,nmol/h/mL,nanomole per hour per milliliter
http://unitsofmeasure.org,nmol/L,nanomole per liter
http://unitsofmeasure.org,nmol/L{RBCs},nanomole per liter of red blood cells
http://unitsofmeasure.org,nmol/L/mmol{creat},nanomole per liter per millimole of creatinine
http://unitsofmeasure.org,nmol/m/mg{prot},nanomole per meter per milligram of protein
http://unitsofmeasure.org,nmol/umol{creat},nanomole per micromole  of creatinine
http://unitsofmeasure.org,nmol/mg,nanomole per milligram
http://unitsofmeasure.org,nmol/mg{creat},nanomole per milligram of creatinine
http://unitsofmeasure.org,nmol/mg{prot},nanomole per milligram of protein
http://unitsofmeasure.org,nmol/mg{prot}/h,nanomole per milligram of protein per hour
http://unitsofmeasure.org,nmol/mg/h,nanomole per milligram per hour
http://unitsofmeasure.org,nmol/mL,nanomole per milliliter
http://unitsofmeasure.org,nmol/mL/h,nanomole per milliliter per hour
http://unitsofmeasure.org,nmol/mL/min,nanomole per milliliter per minute
http://unitsofmeasure.org,nmol/mmol,nanomole per millimole
http://unitsofmeasure.org,nmol/mmol{creat},nanomole per millimole of creatinine
http://unitsofmeasure.org,nmol/min,nanomole per minute
http://unitsofmeasure.org,nmol/min/mg{Hb},nanomole per minute per milligram of hemoglobin
http://unitsofmeasure.org,nmol/min/mg{prot},nanomole per minute per milligram of protein
http://unitsofmeasure.org,nmol/min/mg{protein},nanomole per minute per milligram protein
http://unitsofmeasure.org,nmol/min/mL,nanomole per minute per milliliter
http://unitsofmeasure.org,nmol/min/10*6{cells},nanomole per minute per million cells
http://unitsofmeasure.org,nmol/mol,nanomole per mole
http://unitsofmeasure.org,nmol/mol{creat},nanomole per mole creatinine
http://unitsofmeasure.org,nmol/nmol,nanomole per nanomole
http://unitsofmeasure.org,nmol/s,nanomole per second
http://unitsofmeasure.org,nmol/s/L,nanomole per second per liter
http://unitsofmeasure.org,ns,nanosecond
http://unitsofmeasure.org,N,Newton
http://unitsofmeasure.org,N.cm,Newton centimeter
http://unitsofmeasure.org,N.s,Newton second
http://unitsofmeasure.org,{#},number
http://unitsofmeasure.org,{#}/a,number per annum (year)
http://unitsofmeasure.org,{#}/d,number per day
http://unitsofmeasure.org,{#}/g,number per gram
http://unitsofmeasure.org,{#}/[HPF],number per high power field
http://unitsofmeasure.org,{#}/L,number per liter
http://unitsofmeasure.org,{#}/[LPF],number per low power field
http://unitsofmeasure.org,{#}/uL,number per microliter
http://unitsofmeasure.org,{#}/mL,number per milliliter
http://unitsofmeasure.org,{#}/min,number per minute
http://unitsofmeasure.org,{#}/wk,number per week
http://unitsofmeasure.org,Ohm,Ohm
http://unitsofmeasure.org,Ohm.m,Ohm meter
http://unitsofmeasure.org,10*5,one hundred thousand
http://unitsofmeasure.org,{OD_unit},optical density unit
http://unitsofmeasure.org,osm,osmole
http://unitsofmeasure.org,osm/kg,osmole per kilogram
http://unitsofmeasure.org,osm/L,osmole per liter
http://unitsofmeasure.org,[oz_av],ounce (US and British)
http://unitsofmeasure.org,{Pan_Bio'U},panbio unit
http://unitsofmeasure.org,[ppb],part per billion
http://unitsofmeasure.org,[ppm],part per million
http://unitsofmeasure.org,[ppm]{v/v},part per million in volume per volume
http://unitsofmeasure.org,[ppth],part per thousand
http://unitsofmeasure.org,[pptr],part per trillion
http://unitsofmeasure.org,Pa,Pascal
http://unitsofmeasure.org,/10*10,per 10 billion
http://unitsofmeasure.org,/10*4{RBCs},per 10 thousand red blood cells
http://unitsofmeasure.org,/100,per 100
http://unitsofmeasure.org,/100{cells},per 100 cells
http://unitsofmeasure.org,/100{neutrophils},per 100 neutrophils
http://unitsofmeasure.org,/100{spermatozoa},per 100 spermatozoa
http://unitsofmeasure.org,/100{WBCs},per 100 white blood cells
http://unitsofmeasure.org,/[arb'U],per arbitrary unit
http://unitsofmeasure.org,/10*9,per billion
http://unitsofmeasure.org,/cm[H2O],per centimeter of water
http://unitsofmeasure.org,/m3,per cubic meter
http://unitsofmeasure.org,/d,per day
http://unitsofmeasure.org,/dL,per deciliter
http://unitsofmeasure.org,/{entity},per entity
http://unitsofmeasure.org,/U,per enzyme unit
http://unitsofmeasure.org,/g,per gram
http://unitsofmeasure.org,/g{creat},per gram of creatinine
http://unitsofmeasure.org,/g{Hb},per gram of hemoglobin
http://unitsofmeasure.org,/g{tot_nit},per gram of total nitrogen
http://unitsofmeasure.org,/g{tot_prot},per gram of total protein
http://unitsofmeasure.org,/g{wet_tis},per gram of wet tissue
http://unitsofmeasure.org,/[HPF],per high power field
http://unitsofmeasure.org,/h,per hour
http://unitsofmeasure.org,/[IU],per international unit
http://unitsofmeasure.org,/kg,per kilogram
http://unitsofmeasure.org,/kg{body_wt},per kilogram of body weight
http://unitsofmeasure.org,/L,per liter
http://unitsofmeasure.org,/[LPF],per low power field
http://unitsofmeasure.org,/uL,per microliter
http://unitsofmeasure.org,/mg,per milligram
http://unitsofmeasure.org,/mL,per milliliter
http://unitsofmeasure.org,/mm,per millimeter
http://unitsofmeasure.org,/mmol{creat},per millimole of creatinine
http://unitsofmeasure.org,/10*6,per million
http://unitsofmeasure.org,/min,per minute
http://unitsofmeasure.org,/mo,per month
http://unitsofmeasure.org,/{OIF},per oil immersion field
http://unitsofmeasure.org,/s,per second
http://unitsofmeasure.org,/m2,per square meter
http://unitsofmeasure.org,/10*3,per thousand
http://unitsofmeasure.org,/10*3{RBCs},per thousand red blood cells
http://unitsofmeasure.org,/10*12,per trillion
http://unitsofmeasure.org,/10*12{RBCs},per trillion red blood cells
http://unitsofmeasure.org,/(12.h),per twelve hour
http://unitsofmeasure.org,/wk,per week
http://unitsofmeasure.org,/a,per year
http://unitsofmeasure.org,%,percent
http://unitsofmeasure.org,%{loss_AChR},percent  loss of acetylcholine receptor
http://unitsofmeasure.org,%{penetration},percent  penetration
http://unitsofmeasure.org,%{abnormal},percent abnormal
http://unitsofmeasure.org,%{activity},percent activity
http://unitsofmeasure.org,%{aggregation},percent aggregation
http://unitsofmeasure.org,%{at_60_min},percent at 60 minute
http://unitsofmeasure.org,%{basal_activity},percent basal activity
http://unitsofmeasure.org,%{binding},percent binding
http://unitsofmeasure.org,%{blockade},percent blockade
http://unitsofmeasure.org,%{blocked},percent blocked
http://unitsofmeasure.org,%{bound},percent bound
http://unitsofmeasure.org,%{breakdown},percent breakdown
http://unitsofmeasure.org,%{vol},percent by volume
http://unitsofmeasure.org,%{deficient},percent deficient
http://unitsofmeasure.org,%{dose},percent dose
http://unitsofmeasure.org,%{excretion},percent excretion
http://unitsofmeasure.org,%{Hb},percent hemoglobin
http://unitsofmeasure.org,%{hemolysis},percent hemolysis
http://unitsofmeasure.org,%{index},percent index
http://unitsofmeasure.org,%{inhibition},percent inhibition
http://unitsofmeasure.org,%{loss},percent loss
http://unitsofmeasure.org,%{lysis},percent lysis
http://unitsofmeasure.org,%{normal},percent normal
http://unitsofmeasure.org,%{pooled_plasma},percent normal pooled plasma
http://unitsofmeasure.org,%{bacteria},percent of bacteria
http://unitsofmeasure.org,%{baseline},percent of baseline
http://unitsofmeasure.org,%{cells},percent of cells
http://unitsofmeasure.org,%{RBCs},percent of red blood cells
http://unitsofmeasure.org,%{WBCs},percent of white blood cells
http://unitsofmeasure.org,%{positive},percent positive
http://unitsofmeasure.org,%{reactive},percent reactive
http://unitsofmeasure.org,%{recovery},percent recovery
http://unitsofmeasure.org,%{reference},percent reference
http://unitsofmeasure.org,%{residual},percent residual
http://unitsofmeasure.org,%{response},percent response
http://unitsofmeasure.org,%{saturation},percent saturation
http://unitsofmeasure.org,%{total},percent total
http://unitsofmeasure.org,%{uptake},percent uptake
http://unitsofmeasure.org,%{viable},percent viable
http://unitsofmeasure.org,{percentile},percentile
http://unitsofmeasure.org,[pH],pH
http://unitsofmeasure.org,{phenotype},phenotype
http://unitsofmeasure.org,pA,picoampere
http://unitsofmeasure.org,pg,picogram
http://unitsofmeasure.org,pg/{cell},picogram per cell
http://unitsofmeasure.org,pg/dL,picogram per deciliter
http://unitsofmeasure.org,pg/L,picogram per liter
http://unitsofmeasure.org,pg/mg,picogram per milligram
http://unitsofmeasure.org,pg/mg{creat},picogram per milligram of creatinine
http://unitsofmeasure.org,pg/mL,picogram per milliliter
http://unitsofmeasure.org,pg/mL{sLT},picogram per milliliter sulfidoleukotrienes
http://unitsofmeasure.org,pg/mm,picogram per millimeter
http://unitsofmeasure.org,pg/{RBC},picogram per red blood cell
http://unitsofmeasure.org,pkat,picokatal
http://unitsofmeasure.org,pL,picoliter
http://unitsofmeasure.org,pm,picometer
http://unitsofmeasure.org,pmol,picomole
http://unitsofmeasure.org,pmol/(24.h),picomole per 24 hour
http://unitsofmeasure.org,pmol/d,picomole per day
http://unitsofmeasure.org,pmol/dL,picomole per deciliter
http://unitsofmeasure.org,pmol/g,picomole per gram
http://unitsofmeasure.org,pmol/h/mg{prot},picomole per hour per milligram of protein
http://unitsofmeasure.org,pmol/H/mg{protein},picomole per hour per milligram protein
http://unitsofmeasure.org,pmol/h/mL,picomole per hour per milliliter
http://unitsofmeasure.org,pmol/L,picomole per liter
http://unitsofmeasure.org,pmol/umol,picomole per micromole
http://unitsofmeasure.org,pmol/umol{creat},picomole per micromole of creatinine
http://unitsofmeasure.org,pmol/mg{prot},picomole per milligram of protein
http://unitsofmeasure.org,pmol/mL,picomole per milliliter
http://unitsofmeasure.org,pmol/mmol{creat},picomole per millimole of creatinine
http://unitsofmeasure.org,pmol/min,picomole per minute
http://unitsofmeasure.org,pmol/min/mg{prot},picomole per minute per milligram of protein
http://unitsofmeasure.org,pmol/{RBC},picomole per red blood cell
http://unitsofmeasure.org,ps,picosecond
http://unitsofmeasure.org,pT,picotesla
http://unitsofmeasure.org,[pt_us],pint (US)
http://unitsofmeasure.org,[lb_av],pound (US and British)
http://unitsofmeasure.org,[psi],pound per square inch
http://unitsofmeasure.org,[qt_us],quart (US)
http://unitsofmeasure.org,{ratio},ratio
http://unitsofmeasure.org,{RBC}/uL,red blood cell per microliter
http://unitsofmeasure.org,%{relative},relative percent
http://unitsofmeasure.org,{rel_saturation},relative saturation
http://unitsofmeasure.org,{risk},risk
http://unitsofmeasure.org,{Rubella_virus},rubella virus
http://unitsofmeasure.org,{saturation},saturation
http://unitsofmeasure.org,{score},score
http://unitsofmeasure.org,s,second
http://unitsofmeasure.org,s/{control},second per control
http://unitsofmeasure.org,{shift},shift
http://unitsofmeasure.org,S,Siemens
http://unitsofmeasure.org,Sv,Sievert
http://unitsofmeasure.org,{s_co_ratio},signal to cutoff ratio
http://unitsofmeasure.org,{spermatozoa}/mL,spermatozoa per milliliter
http://unitsofmeasure.org,cm2,square centimeter
http://unitsofmeasure.org,cm2/s,square centimeter per second
http://unitsofmeasure.org,dm2/s2,square decimeter per square second
http://unitsofmeasure.org,[sft_i],square foot (international)
http://unitsofmeasure.org,[sin_i],square inch (international)
http://unitsofmeasure.org,m2,square meter
http://unitsofmeasure.org,m2/s,square meter per second
http://unitsofmeasure.org,mm2,square millimeter
http://unitsofmeasure.org,[syd_i],square yard (international)
http://unitsofmeasure.org,{STDV},standard deviation
http://unitsofmeasure.org,{Tscore},t score
http://unitsofmeasure.org,[tbs_us],tablespoon (US)
http://unitsofmeasure.org,[tsp_us],teaspoon (US)
http://unitsofmeasure.org,T,Tesla
http://unitsofmeasure.org,10*3,thousand
http://unitsofmeasure.org,10*3{copies}/mL,thousand copies per milliliter
http://unitsofmeasure.org,10*3/L,thousand per liter
http://unitsofmeasure.org,10*3/uL,thousand per microliter
http://unitsofmeasure.org,10*3/mL,thousand per milliliter
http://unitsofmeasure.org,10*3{RBCs},thousand red blood cells
http://unitsofmeasure.org,{TSI_index},thyroid-stimulating immunoglobulin index
http://unitsofmeasure.org,{TmStp},time stamp
http://unitsofmeasure.org,{titer},titer
http://unitsofmeasure.org,[todd'U],Todd unit
http://unitsofmeasure.org,Torr,Torr
http://unitsofmeasure.org,10*12/L,trillion per liter
http://unitsofmeasure.org,[oz_tr],Troy ounce
http://unitsofmeasure.org,[tb'U],tuberculin unit
http://unitsofmeasure.org,V,volt
http://unitsofmeasure.org,Wb,Weber
http://unitsofmeasure.org,wk,week
http://unitsofmeasure.org,{WBCs},white blood cells
http://unitsofmeasure.org,[yd_i],yard (international)
http://unitsofmeasure.org,a,year
http://unitsofmeasure.org,{yyyy},year
http://unitsofmeasure.org,{Zscore},z score
http://unitsofmeasure.org,mCi,milliCurie
